GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026562	43868.5455480573	-2.38255375304793	0.0835225231263853	-28.52588336493	5.59510659357302e-179	4.84032671410002e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07674246605722	0.144657905723644	-28.1819541466712	9.73174434919264e-175	2.80631067882885e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99542318408682	0.106239999059918	-28.1948720876534	6.7584918998578e-175	2.80631067882885e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.68038350346721	0.0992245312643666	27.0133148457592	1.03100951589766e-160	2.22981583050767e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11124928853083	0.0911704728081767	-23.1571606848295	1.23126722914274e-118	2.13033855986276e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37069793823606	0.169769330544757	-19.8545751898777	1.00609692837848e-87	1.45062408790038e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41861841923201	0.121932427323995	-19.8357276428635	1.4638292984758e-87	1.80908389444488e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31429990152405	0.131223751014267	-17.6362882758354	1.29705950411638e-69	1.40260772126385e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92757215646613	0.171225309801882	-17.0977769574691	1.5417387261071e-65	1.48195352439472e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33699940164744	0.144138800736699	16.2135343828515	4.04614943733888e-59	3.50032387824186e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.1748662145597	0.137603340900505	-15.8053300183478	2.85889263568265e-56	2.24838910829914e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28372207623921	0.166853803528244	-13.6869644440118	1.2147911514314e-42	8.75763187586086e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.16269191876214	0.0860494833773793	-13.5118988880274	1.33044932838123e-41	8.85362856909692e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.35990537059714	0.182328597404073	12.9431444337125	2.5689552760853e-38	1.58743086381528e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55764685857492	0.12352182461997	12.6102967096479	1.85294109339669e-36	1.06865289326498e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340061438253	0.116293333838957	-12.5837016282383	2.59575596990749e-36	1.40349280597936e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63623036756733	0.130118861161245	-12.5748900118307	2.90203908040255e-36	1.4767964755625e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0023479	3098.55704032873	-1.43344793545612	0.115450180963136	-12.4161601436885	2.13568392583088e-35	1.02643342457572e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.43091707618949	0.196412549680415	-12.376587342025	3.49907346464393e-35	1.59318339698077e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.93650452760256	0.157112392262669	12.3256001624939	6.59506321077427e-35	2.85269459182041e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11684352842785	0.0912084866631373	-12.2449518601565	1.78783133955015e-34	7.36501377068969e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82613315137593	0.153884797187807	11.8668847394148	1.75896212230238e-32	6.91671878183541e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61734618601248	0.137034410365026	-11.8024821773178	3.78965376074835e-32	1.42540411670583e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623017296764	0.0969027092889481	-11.6222774495335	3.17556427758915e-31	1.14465860689266e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113655452061	0.170096247066574	-11.5295698073399	9.36102999656112e-31	3.23929082001001e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60560460465746	0.226819622920894	-11.4875625446489	1.52350033781458e-30	5.06915439324384e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.55128405048209	0.224463183984873	-11.3661581609482	6.16414358886554e-30	1.9750372661954e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18389374390612	0.10514979682771	11.2591158482783	2.08843460328132e-29	6.45251705463812e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80911695721955	0.160806335673896	-11.250284073933	2.30847366077163e-29	6.88641573770185e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88852456873973	0.168968370823865	11.1767933816936	5.29694756178435e-29	1.52746311189988e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0051363	7311.06808545643	0.927156624252795	0.0836911007512311	11.0783179565141	1.5984727766194e-28	4.46077031952724e-26	chr3R	11590385	11619906	-	protein_coding	Jupiter
FBgn0034010	525.879538634805	-1.33216262578644	0.122718232683876	-10.8554580411707	1.87862555852275e-27	5.07874678336885e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08366060779354	0.0999864941736085	-10.8380698488334	2.27214190630656e-27	5.95645443377517e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11827059735335	0.105190841341871	-10.630874162504	2.14096198969806e-26	5.44748887437586e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09110023656166	0.19683888638085	10.6234102163926	2.31930158499017e-26	5.73265086049999e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.24691013734804	0.213566482399211	10.520893129419	6.92143441095231e-26	1.66325914136523e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03747160377037	0.0990577462200407	10.4734020645472	1.14454162746307e-25	2.67606205923866e-23	chr2R	21074017	21088945	+	protein_coding	Treh
